team,elo
Argentina,1885.7
Spain,1873.0
France,1841.9
England,1828.0
Morocco,1824.0
Japan,1804.1
Mexico,1784.4
Brazil,1783.6
Colombia,1778.6
Portugal,1775.9
Netherlands,1762.0
Germany,1760.3
Iran,1758.4
Senegal,1757.1
Algeria,1756.4
Australia,1752.4
Nigeria,1736.5
Ivory Coast,1735.0
Norway,1734.0
Belgium,1733.6
South Korea,1730.6
Canada,1721.0
Switzerland,1708.8
Egypt,1705.1
Austria,1701.1
Italy,1696.8
Croatia,1694.7
Uruguay,1693.1
United States,1692.0
Ecuador,1691.8
Denmark,1689.5
Uzbekistan,1674.3
Turkey,1670.5
Panama,1669.9
Russia,1666.2
Mali,1654.7
DR Congo,1652.8
Cameroon,1641.5
Haiti,1639.2
Jersey,1630.9
Jordan,1630.6
Costa Rica,1624.5
Iraq,1623.4
Sweden,1622.5
Tunisia,1622.2
Scotland,1618.5
Ukraine,1617.7
Saudi Arabia,1612.4
Burkina Faso,1609.8
Serbia,1606.9
Jamaica,1606.1
South Africa,1606.0
New Zealand,1603.1
Cape Verde,1603.0
Honduras,1603.0
United Arab Emirates,1601.7
Greece,1597.9
Czech Republic,1596.0
Thailand,1594.0
Isle of Man,1586.4
Ynys Môn,1581.5
New Caledonia,1578.1
Ghana,1576.3
Poland,1574.4
Hungary,1568.0
Guatemala,1568.0
Angola,1566.9
Kosovo,1566.7
Abkhazia,1565.3
Paraguay,1564.7
Malaysia,1564.5
Slovenia,1563.1
Venezuela,1562.5
Guyana,1559.9
Oman,1559.3
Wales,1555.0
Vietnam,1554.9
Curaçao,1554.6
Republic of Ireland,1554.3
Georgia,1553.9
Padania,1552.8
Kárpátalja,1552.0
Syria,1549.2
Suriname,1549.0
Guadeloupe,1547.5
Romania,1544.6
Slovakia,1544.5
Northern Cyprus,1544.3
Guernsey,1543.2
Yorkshire,1542.7
Dominican Republic,1541.8
Guinea,1541.2
South Ossetia,1540.5
Tamil Eelam,1540.0
Chile,1539.5
Tahiti,1537.8
Chameria,1537.6
Qatar,1529.9
Cascadia,1525.4
Basque Country,1525.3
Isle of Wight,1524.5
Palestine,1523.7
Israel,1523.2
Ellan Vannin,1522.0
Réunion,1520.5
Panjab,1519.9
Elba Island,1519.3
China,1519.0
Bahrain,1518.0
Nicaragua,1517.7
Gambia,1517.2
Maule Sur,1516.5
Indonesia,1516.3
Kernow,1514.9
Raetia,1514.9
Western Armenia,1514.2
Parishes of Jersey,1514.0
Mayotte,1513.9
Zanzibar,1513.8
Artsakh,1513.4
Gabon,1513.2
Peru,1512.9
Papua New Guinea,1512.5
Surrey,1512.2
Shetland,1511.3
Zambia,1510.6
Tajikistan,1510.2
Libya,1508.6
Biafra,1508.3
Franconia,1508.3
Catalonia,1506.1
Mapuche,1504.6
Saint Barthélemy,1501.4
North Macedonia,1501.1
Albania,1500.8
United Koreans in Japan,1500.2
Luhansk PR,1499.4
Gozo,1499.3
Trinidad and Tobago,1497.6
Lebanon,1495.7
French Guiana,1493.7
Hitra,1492.9
Galicia,1491.8
Puerto Rico,1491.4
Benin,1491.2
Yoruba Nation,1491.0
Orkney,1490.8
Uganda,1490.6
Somaliland,1490.3
Vatican City,1490.2
Madagascar,1489.6
Fiji,1489.1
Matabeleland,1488.4
Northern Ireland,1488.0
El Salvador,1486.7
Saint Martin,1485.8
West Papua,1485.0
Menorca,1484.7
Togo,1481.6
East Turkestan,1480.3
Székely Land,1479.4
Western Isles,1479.3
Aymara,1479.0
Mozambique,1479.0
Hmong,1478.4
Greenland,1478.3
Kenya,1477.5
Comoros,1475.9
Eritrea,1474.2
Bosnia and Herzegovina,1473.4
Kabylia,1473.3
Cuba,1470.9
North Korea,1469.6
Two Sicilies,1469.5
Sierra Leone,1468.8
Vanuatu,1467.9
Ticino,1465.3
Kuwait,1465.1
Philippines,1465.0
Equatorial Guinea,1465.0
Saint Vincent and the Grenadines,1463.9
Åland Islands,1463.8
Niger,1463.0
Iceland,1461.5
Finland,1460.6
Kyrgyzstan,1460.5
Marshall Islands,1460.4
Falkland Islands,1459.9
Solomon Islands,1455.9
Hong Kong,1452.9
Belarus,1452.2
Rwanda,1451.5
Bolivia,1451.0
Zimbabwe,1450.8
Martinique,1450.8
Sudan,1450.7
Malawi,1449.0
Turkmenistan,1448.9
Samoa,1447.9
Sápmi,1447.2
Chagos Islands,1442.9
Sint Maarten,1441.7
Mauritania,1440.0
Namibia,1438.3
Liberia,1436.5
Northern Mariana Islands,1432.1
Yemen,1428.5
Frøya,1428.4
Singapore,1427.7
Alderney,1427.6
Tanzania,1427.4
Burundi,1424.8
Barawa,1424.7
Ethiopia,1423.7
Belize,1421.1
Botswana,1420.3
Lesotho,1416.4
Cook Islands,1415.6
Montenegro,1415.1
Bulgaria,1414.6
Guinea-Bissau,1409.4
Kazakhstan,1408.7
Bermuda,1408.5
Central African Republic,1405.3
Tibet,1402.5
Tonga,1402.2
Aruba,1400.2
Saint Kitts and Nevis,1400.0
Saint Helena,1400.0
Eswatini,1391.9
India,1391.2
Montserrat,1388.8
Tuvalu,1387.0
Congo,1382.2
Grenada,1380.1
Afghanistan,1375.1
Somalia,1369.9
Saint Lucia,1369.4
Luxembourg,1369.1
Bangladesh,1366.1
Cambodia,1365.7
Faroe Islands,1365.0
Mauritius,1362.0
Pakistan,1360.8
Dominica,1359.1
South Sudan,1358.2
Bonaire,1353.5
Estonia,1346.5
Nepal,1343.9
Armenia,1342.2
Azerbaijan,1340.3
Chad,1338.5
Djibouti,1336.0
São Tomé and Príncipe,1330.1
Macau,1328.5
Guam,1328.3
Mongolia,1323.7
Sri Lanka,1323.1
British Virgin Islands,1322.9
Malta,1321.6
Brunei,1321.3
American Samoa,1319.9
Myanmar,1319.6
Latvia,1319.2
Maldives,1318.4
Taiwan,1314.8
Barbados,1313.9
Cyprus,1313.4
Timor-Leste,1299.3
Cayman Islands,1295.6
Bhutan,1294.7
Antigua and Barbuda,1294.0
Laos,1293.3
Moldova,1286.3
Lithuania,1279.5
Turks and Caicos Islands,1275.1
United States Virgin Islands,1264.8
Gibraltar,1228.9
Seychelles,1221.3
Andorra,1217.3
Bahamas,1207.3
Anguilla,1207.2
Liechtenstein,1106.7
San Marino,1086.1
